Item name,<pqid>,<title>,<author_name>,<author_corrected>,<author_uninverted>,<startdate>,<enddate>,<displaydate>,<imprint>,<publisher_printer>,<place_of_publication>,<country_of_publication>,<pagination>,<shelfmark>,<source_library>,<source_collection>,<language>,<illustrations>
uni-ucl-jud-0015042-001,uni-ucl-jud-0015042-001,Op'aureum ac nouum a doctis uiris diu expectatum /,,"Carben, Victor von.",,,,Anno domini Mcccccix [1509].,,,,,"75 leaves : ill., 2 woodcuts ; 21 cm.",STRONG ROOM MOCATTA 1509 C1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015044-001,uni-ucl-jud-0015044-001,Fortalitium fidei contra Iudeos: Sarracenos: alios[que] christiane fidei inimicos :.,,"Spina, Alphonsus a, Bishop of Orense, -1469.",,,,Anno salut[is] n[ost]re xi supra millesimu[m]q[ui]nge[n]tesimu[m] [1511].,,,,,[11] ccclxxi leaves. ; 19 cm.,STRONG ROOM MOCATTA 1511 S6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015050-001,uni-ucl-jud-0015050-001,"Fla Iosephi De bello iudaico, Libri septem : De Antiquitatibus, contra Apionem Grammaticum, libri duo; et De Imperatrice Ratione, liber unus, in quo martyrium Machab{ae}oru[m] describitur /",,"Josephus, Flavius.",,,,Anno MDXXVIII [1528].,,,,,"[24], 605, [3] p. ; 18 cm.",STRONG ROOM MOCATTA 1528 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015051-001,uni-ucl-jud-0015051-001,"Tredecim articuli fidei Iudaeorum : item, Compendium elegans historiarum Iosephi, complectens: Acta lxx. Interpretum: Gesta Machabeorum: Facta Herodum: Exicidium Hierosolymitanum. Item, Decem captivitates Iudaeorum /",,,,,,Anno Christi MDXXIX [1529].,,,,,[182] leaves : ; 16 cm.,STRONG ROOM MOCATTA 1529 Y6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015052-001,uni-ucl-jud-0015052-001,"Der gantz jüdisch Glaub : mit Sampt ainer gründtlichen und warhafften anzaygunge Aller Satzungen, ceremonien, Gebettom, haymliche und offentliche Gebreüch, deren sich dye Juden halten, durch das gantz Jar /",,"Margarita, Antonius, approximately 1490-",,,,MDXXX [1530].,,,,,[96] leaves : ill. ; 19 cm.,STRONG ROOM MOCATTA 1530 M1,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0015059-001,uni-ucl-jud-0015059-001,"Fl. Iosephi De bello iudaico libri septem : eiusdem: Contra Apionem libri duo; de imperio rationis: sive, de Machab{ae}is liber unus.",,"Josephus, Flavius.",,,,1539,,,,,"582, [11] p. ; 18 cm.",STRONG ROOM MOCATTA 1539 J6 (2),University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0126704-001,uni-ucl-jud-0126704-001,"Grammaticæ chaldaicæ et syriacæ libri III : cum facili vocabulorum difficilium explicatione grammatica, & pravorum ad veram linguae analogiam collatione. Inserta quoque passim est Dialectus talmudica & rabbinica.",,"Buxtorf, Johann, 1564-1629.",,,,1650,,,,,"452, [8] p. ; 18 cm.",MOCATTA PR 105 BUX,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130523-001,uni-ucl-jud-0130523-001,"The blessed Jew of Marocco: or, a blackamoor made white. : Being a demonstration of the true messias out of the Law and prophets, by Rabbi Samuel a Iew, turned Christian; written first in the Arabick, after translated into Latin, and now Englished. To which are annexed a diatriba of the Jews sins, and their miserie all over the world, annotations to the Book, with large digressions, discovering Iewish blindnesse, their refusing Christ, and the many false Christs they have received; with other things for profit in knowledge and understanding. By Tho: Calvert minister of the Word at York.",,"Samuel, Marochitanus.",,,,1648,,,,,"16], 229, [1] p ; 17 cm",STRONG ROOM MOCATTA 1648 S1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130525-001,uni-ucl-jud-0130525-001,"The history of the rites, customes, and manner of life, of the present Jews, throughout the world. VVritten in Italian, by Leo Modena, a rabbine of Venice. Translated into English, by Edmund Chilmead, Mr. of Arts, and chaplain of Christ-Church Oxon.",,"Modena, Leone, 1571-1648.",,,,1650,,,,,"[46], 80, 91-249, [1] p. ; 14 cm.",STRONG ROOM MOCATTA 1650 M6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130526-001,uni-ucl-jud-0130526-001,"Miḳṿeh Yisrael, hoc est, Spes Israelis /",,"Manasseh ben Israel, 1604-1657.",,,,Anno 1650.,,,,,"6 p.l., 111 pp. ; 15 cm.",STRONG ROOM MOCATTA 1650 M1 (1),University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130531-001,uni-ucl-jud-0130531-001,Ioannis Seldeni De synedriis & præfecturis iuridicis veterum Ebræorum liber primus.,,"Selden, John, 1584-1654.",,,,MDCL. [1650].,,,,,"[2], XII, [8], 656, [2] p. ; 19 cm.",STRONG ROOM MOCATTA 1650-55 S2/1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015053-001,uni-ucl-jud-0015053-001,Pauli Paradis Veneti haebraicarum literatum Regii interpretis de modo legendi haebraice dialogus.,"Sarpi, Paolo, 1552-1623.","Sarpi, Paolo, 1552-1623.","Paolo Sarpi, 1552-1623.",15340101,15341231,1534,"PARISIIS: Hieronymum Gormontium, 1534.",Hieronymum Gormontium,Paris,France,[18] leaves ; 16 cm.,STRONG ROOM MOCATTA 1534 S1/1,University College London,"Special Collections, UCL Library",Latin,
