Image name,Image url link,Image url link,Image,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5,translation
uni-ucl-jud-0015042-000-0000B.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000B.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000B.jpg,,Back board,,colour,,,,,,,,,,,,
uni-ucl-jud-0015042-000-0000F.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000F.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000F.jpg,,Front board,,colour,,,,,,,,,,,,
uni-ucl-jud-0015042-000-0000S.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000S.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000S.jpg,,Spine,,colour,,,,,,,,,,,,
uni-ucl-jud-0015042-000-0000X.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000X.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000X.jpg,,Head edge,,colour,,,,,,,,,,,,
uni-ucl-jud-0015042-000-0000Y.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000Y.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000Y.jpg,,Tail edge,,colour,,,,,,,,,,,,
uni-ucl-jud-0015042-000-0000Z.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000Z.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0000Z.jpg,,Foredge,,colour,,,,,,,,,,,,
uni-ucl-jud-0015042-000-0001L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0001L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0001L.jpg,,Front endpaper,,monochrome,,Handwritten page/insert,1,,,,,,,,,
uni-ucl-jud-0015042-000-0002R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0002R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0002R.jpg,,Front endpaper,,monochrome,,Handwritten page/insert,1,,,,,,,,,
uni-ucl-jud-0015042-000-0003L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0003L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0003L.jpg,,Back endpaper,,monochrome,,,,,,,,,,,,
uni-ucl-jud-0015042-000-0004R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0004R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-000/uni-ucl-jud-0015042-000-0004R.jpg,,Back endpaper,,monochrome,,,,,,,,,,,,
