Item name,<pqid>,<title>,<author_name>,<author_corrected>,<author_uninverted>,<startdate>,<enddate>,<displaydate>,<imprint>,<publisher_printer>,<place_of_publication>,<country_of_publication>,<pagination>,<shelfmark>,<source_library>,<source_collection>,<language>,<illustrations>
uni-ucl-jud-0130575-001,uni-ucl-jud-0130575-001,"Gods love to his people Israel. : Being a true copy of a letter as it was sent to the East-India-Company, concerning the Jevves: with a more perfect account of them, their prophet, and the miracles he hath wrought, than hath hitherto been extant.",Anonymous,Anonymous,Anonymous,16660101,16661231,"in the Year, 1666.","London: A. Maxwell, 1666.",A. Maxwell,London,England,"[2], 6 p. ; 19 cm.",STRONG ROOM MOCATTA 1666 G6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130392-001,uni-ucl-jud-0130392-001,"A compendious and most marueilous historie of the latter tymes of the Iewes common weale, : begynnyng where the Byble or Scriptures leaue, and continuyng to the vtter subuertion and laste destruction of that countrey and people: written in Hebrue by Ioseph Ben Gorion, a noble man of the same countrey, who sawe the most thynges hym selfe, and was aucthour and doer of a great part of the same. Translated into Englyshe by Peter Morwyng of Magdalen Colledge in Oxforde.",Joshep Ben Gorion,"Gorion, Joseph Ben",Joseph Ben Gorion,15670101,15671231,1567,"London: Richard Iugge, 1567.",Richard Iugge,London,England,"[4], 76, 75-82, 85-172, 172-251, 352-357, [2] leaves ; 13 cm.",STRONG ROOM MOCATTA 1567 J6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0033479-001,uni-ucl-jud-0033479-001,"[Certaine sermons or homilies : appointed to be read in churches, in the time of the late Queene Elizabeth of famous memory. And now thought fit to bee reprinted by authority from the Kings most excellent Maiestie.].",Anonymous,Anonymous,Anonymous,16230101,16231231,1623].,,,,,"[8], 98, [2] p. ; 30 cm.",STRONG ROOM MOCATTA QUARTO 1623 C2/1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0033479-002,uni-ucl-jud-0033479-002,"The second tome fo Homilies, of such matters as were promised and entituled in the former part of
Homilies. Set out by the authority of the late Queenes Maiestie: and to be read in euery Parish Church agreeable.",Anonymous,Anonymous,Anonymous,16230101,16231231,1623,"London: John Bill, 1623.",John Bill,London,England,,STRONG ROOM MOCATTA QUARTO 1623 C2/2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130590-001,uni-ucl-jud-0130590-001,"The conversion & persecutions of Eve Cohan, now called Elizabeth Verboon, : a person of quality of the Jewish religion. Who was baptized the 10th of October, 1680. at St. Martins in the Fields, by the Right Reverend Father in God, William, Lord Bishop of St. Asaph.",Gilbert Burnet,"Burnet, Gilbert, 1643-1715.","Gilbert Burnet, 1643-1715.",16800101,16801231,1680,"London: Richard Chiswell, 1623.",Richard Chiswell,London,England,"[8], 27, [1] p. ; 19 cm.",STRONG ROOM MOCATTA 1680 B8 (1),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0032812-001,uni-ucl-jud-0032812-001,Antiquitates judaicae.,"Josephus, Flavius.","Josephus, Flavius.",Flavius Josephus,14860101,14861231,1486,,,,,[278] f.: 2 v. in 1 ; 31 cm.,INCUNABULA QUARTO 5 rr,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0032838-001,uni-ucl-jud-0032838-001,Repertorium de pravitate haereticorum.,M. Albert,"Albert, M.",M. Albert,14940101,14941231,1494,,,,,[303] f. ; 29 cm.,INCUNABULA QUARTO 10 b,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015250-001,uni-ucl-jud-0015250-001,"Flavii Iosephi Opera in sermonem latinvm iam olim conversa : nvnc verò ad exemplaria Græca denuò summa fide diligentiaq[ue] collata, ac plurimis in locis emendata. Quid hac noua editione præstitum sit, uerso mox folio, uidere licet. Accessit rerum & verborum toto opere memorabilium locupletissimus index.",Flavii Josephi,"Josephus, Flavius.","Flavius, Josephus",15670101,15671231,MDLXVII [1567].,"Basilleae: Froben Press, M.D.LXVII. [1567]",Froben Press,Basel,Switzerland,"[20], 910, [26] p ; 34 cm.",STRONG ROOM MOCATTA FOLIO 1567 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130479-001,uni-ucl-jud-0130479-001,"Rabbi Mosis Majemonidis liberiמורה נבוכים Doctor perplexorum:ad dubia & obscuriora Scripturæ loca rectiùs intelligenda veluti clavem continens, prout in praefatione, in quâ de authoris vitâ, & operis totius ratione agitur, pleniùs explicatur:primùm ab authore in lingua arabia ante CCCLC. circiter annos in Ægypto conscriptus: deindeà r. Samuele Aben Tybbon hispano in linguam hebræam ... translatus; nunc verò novè, ad linguæ hebraicæ cognitonem uberiùs propagandam, ejusq́ usum & amplitudinem evidentiùs christianorum scholis declarandam, in linguam latinam perspicuè & fideliter conversus, à Johanne Buxtorfio, fil. Addidit sunt indices locorum Scripturæ, rerum & vocum hebraicarum.",Mosis Majemonidis,"Maimonides, Moses, 1135-1204.","Moses, Maimonides, 1135-1204.",16290101,16291231,1629,"Basileae: Ludovici Konig, 1629.",Jo.Jacob Genath,Basel,Switzerland,"38, 532, [52] p. ; 21 cm.",STRONG ROOM MOCATTA 1629 M1,University College London,"Special Collections, UCL Library",Latin & Hebrew,
uni-ucl-jud-0015063-001,uni-ucl-jud-0015063-001,"Historia d'Egesippo tra i christiani scrittori antichissimo de le valorose iprese fatte da giudei ne l'assedio di Gierusaleme : e come fu abbattuta quella citta, e molte altre del paese : breve somma del medesimo di quanto è compresso ne l'opera. Tradotta di latino in italiano per Pietro Lauro Modonese.",Pietro Lauro Modonese,"Josephus, Flavius.",Flavius. Josephus,15440101,15441231,Ne l'anno di nostra salute MDXLIIII [1544].,"Venetia: Summo Pontefice Paulo III ,M.D.XLIIIII. [1544]",Supreme Pontiff Paul III,Venice,Italy,"[16], 219. [5] leaves of plates ; 16 cm.",STRONG ROOM MOCATTA 1544 J6 (2),University College London,"Special Collections, UCL Library",Italian,
uni-ucl-jud-0015254-001,uni-ucl-jud-0015254-001,"The works of Josephus. : With great diligence revised and amended, according to the excellent French translation of Monsieur Arnauld d’Andilly also the embassy of Philo Judæus, to the Emperor Caius Caligula. Never translated before. With the references of the Scripture, a new map of the Holy Land, and divers copper-plates, serving to illustrate the history.",Josephus,"Josephus, Flavius.","Flavius, Josephus",16830101,16831231,MDCLXXXIII. [1683].,"London: Philo Judaeus, MDCLXXXIII. [1683]","H. Herringman, T. Basset, N. Ranew, R. Chiswell, J. Wright, and J. Robinson.",London,England,"[12], 516, 515-543, [7], 557-568, 567-642, 657-814, 813-848, 847-854 , [34] p., [2] leaves of plates : ill., map, port. ; 37 cm.",STRONG ROOM MOCATTA FOLIO 1683 J6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130466-001,uni-ucl-jud-0130466-001,"Johannis Buxtorfi Thesaurus grammaticus linguæ sanctæ Hebrææ : duobus libris methodicè propositus quorum prior vocum singularum naturam & proprietates, alter vocum conjunctarum rationem & elegantiam universam, accuratissimè explicat; adiecta prosodia metrica sive poeseos Hebr{ae}o-Germanic{ae} usus & exercitatio.",Johann Buxtorf,"Buxtorf, Johann, 1564-1629.","Buxtorf, Johann",16200101,16201231,MDCXX [1620].,"Basilea: Ludovici Regis, M. DC. XX. [1620]", Ludovici Regis,Basel,Switzerland,"[15], 690, [29] p. ; 18 cm.",STRONG ROOM MOCATTA 1620 B8,University College London,"Special Collections, UCL Library",Latin,
